ind,dne
77,0.011027
557,0.011027
827,0.014301
912,0.014301
319,0.018497
637,0.018497
281,0.018586
741,0.018586
763,0.020253
944,0.020253
176,0.020424
677,0.026230
200,0.026424
660,0.026424
631,0.031119
922,0.031119
705,0.031207
762,0.031207
688,0.031416
884,0.031416
386,0.031739
883,0.031739
906,0.031846
466,0.032280
779,0.032280
442,0.034155
679,0.034439
966,0.036173
967,0.036173
585,0.040011
623,0.040283
924,0.040662
940,0.040662
90,0.040925
407,0.040925
462,0.042467
7,0.043091
34,0.043091
87,0.046243
604,0.046671
286,0.048187
377,0.049571
577,0.049571
802,0.051103
144,0.051368
563,0.052600
797,0.052600
930,0.052791
46,0.055028
484,0.057275
781,0.060038
471,0.061470
859,0.063829
403,0.066770
503,0.068692
487,0.068893
187,0.072982
445,0.074892
234,0.074976
527,0.076882
562,0.082316
973,0.084246
73,0.088537
396,0.092834
273,0.094218
721,0.095189
691,0.098397
45,0.101559
123,0.104975
80,0.105176
10,0.105363
504,0.107353
831,0.107678
893,0.116578
611,0.126784
615,0.143441
981,0.183084
147,0.185917
95,0.211509
359,0.250644
658,0.322471
261,0.395723
792,0.540476
820,0.890419
